date,exercise,weight,reps,sets
2023-02-06,Weighted Chin-up (added weight),2.5,7,4
2023-02-08,Deadlift,112.5,6,3
2023-02-08,Weighted Dip (added weight),0,7,3
2023-02-10,Leg Press,150,12,4
2023-02-10,Smith Machine Calf Raise,90,6,4
2023-02-10,Squat,82.5,6,3
2023-02-13,Bench Press,80,7,4
2023-02-13,Neutral Grip Lat Pulldown,70,6,4
2023-02-13,Overhead Press,47.5,5,3
2023-02-13,Weighted Chin-up (added weight),2.5,3,3
2023-02-15,Barbell Row,62.5,7,3
2023-02-15,Weighted Dip (added weight),2.5,8,3
2023-02-17,Leg Extension,62.5,12,4
2023-02-17,Leg Press,150,8,3
2023-02-17,Smith Machine Calf Raise,90,5,3
2023-02-17,Squat,82.5,5,3
2023-02-20,Bench Press,80,5,3
2023-02-20,Neutral Grip Lat Pulldown,72.5,6,3
2023-02-20,Overhead Press,45,7,3
2023-02-20,Weighted Chin-up (added weight),2.5,6,3
2023-02-22,Barbell Row,67.5,5,4
2023-02-22,Deadlift,110,6,3
2023-02-22,Weighted Dip (added weight),2.5,3,4
2023-02-24,Leg Press,150,6,3
2023-02-27,Bench Press,80,5,3
2023-02-27,Overhead Press,45,8,3
2023-02-27,Weighted Chin-up (added weight),2.5,3,4
2023-03-01,Barbell Row,67.5,6,3
2023-03-01,Deadlift,117.5,8,4
2023-03-01,Weighted Dip (added weight),2.5,5,4
2023-03-03,Leg Press,155,10,4
2023-03-03,Smith Machine Calf Raise,90,6,4
2023-03-06,Bench Press,80,7,4
2023-03-06,Neutral Grip Lat Pulldown,67.5,10,3
2023-03-06,Overhead Press,50,5,4
2023-03-06,Rope Pushdown,25,8,4
2023-03-08,Barbell Curl,30,12,3
2023-03-08,Barbell Row,65,7,4
2023-03-08,Deadlift,120,7,4
2023-03-08,Weighted Dip (added weight),2.5,8,4
2023-03-10,Leg Extension,60,6,4
2023-03-10,Leg Press,150,12,4
2023-03-10,Smith Machine Calf Raise,90,6,3
2023-03-10,Squat,85,5,4
2023-03-13,Bench Press,80,7,3
2023-03-13,Neutral Grip Lat Pulldown,67.5,10,3
2023-03-13,Overhead Press,47.5,7,3
2023-03-13,Rope Pushdown,25,8,4
2023-03-15,Barbell Curl,30,10,4
2023-03-15,Barbell Row,65,8,3
2023-03-15,Deadlift,112.5,5,3
2023-03-15,Weighted Dip (added weight),2.5,3,4
2023-03-17,Leg Extension,60,8,3
2023-03-17,Squat,90,8,4
2023-03-20,Bench Press,75,8,3
2023-03-20,Neutral Grip Lat Pulldown,62.5,6,3
2023-03-20,Overhead Press,40,7,3
2023-03-20,Rope Pushdown,22.5,12,4
2023-03-20,Weighted Chin-up (added weight),0,7,3
2023-03-22,Barbell Curl,27.5,10,4
2023-03-22,Deadlift,107.5,8,3
2023-03-24,Smith Machine Calf Raise,85,12,3
2023-03-27,Bench Press,77.5,8,3
2023-03-27,Overhead Press,47.5,8,3
2023-03-29,Barbell Curl,30,12,4
2023-03-29,Barbell Row,65,8,3
2023-03-29,Deadlift,120,5,3
2023-03-29,Weighted Dip (added weight),2.5,4,4
2023-03-31,Leg Extension,60,5,3
2023-04-03,Bench Press,80,5,3
2023-04-03,Neutral Grip Lat Pulldown,70,12,3
2023-04-03,Rope Pushdown,25,10,3
2023-04-03,Weighted Chin-up (added weight),2.5,4,3
2023-04-05,Barbell Curl,30,6,3
2023-04-05,Deadlift,120,5,3
2023-04-05,Weighted Dip (added weight),2.5,5,4
2023-04-07,Leg Extension,60,10,4
2023-04-07,Leg Press,150,8,3
2023-04-07,Smith Machine Calf Raise,95,10,3
2023-04-07,Squat,90,5,3
2023-04-10,Bench Press,80,7,4
2023-04-10,Overhead Press,47.5,7,4
2023-04-10,Rope Pushdown,25,8,4
2023-04-12,Barbell Curl,30,8,3
2023-04-12,Barbell Row,65,8,3
2023-04-12,Deadlift,117.5,7,3
2023-04-12,Weighted Dip (added weight),2.5,5,4
2023-04-14,Leg Extension,60,6,4
2023-04-14,Leg Press,150,5,3
2023-04-14,Smith Machine Calf Raise,90,12,4
2023-04-14,Squat,87.5,6,4
2023-04-17,Bench Press,80,7,4
2023-04-17,Neutral Grip Lat Pulldown,70,8,4
2023-04-17,Overhead Press,47.5,7,3
2023-04-17,Weighted Chin-up (added weight),2.5,3,3
2023-04-19,Barbell Curl,30,8,4
2023-04-19,Barbell Row,65,7,3
2023-04-19,Weighted Dip (added weight),2.5,3,3
2023-04-21,Leg Press,150,5,4
2023-04-21,Smith Machine Calf Raise,90,10,4
2023-04-21,Squat,85,7,4
2023-04-24,Bench Press,80,5,3
2023-04-24,Neutral Grip Lat Pulldown,70,12,3
2023-04-24,Overhead Press,47.5,7,3
2023-04-26,Barbell Curl,30,8,3
2023-04-26,Barbell Row,67.5,5,3
2023-04-26,Deadlift,120,7,4
2023-04-26,Weighted Dip (added weight),2.5,3,3
2023-04-28,Leg Extension,60,8,3
2023-04-28,Leg Press,150,8,4
2023-04-28,Smith Machine Calf Raise,90,6,4
2023-04-28,Squat,87.5,8,4
2023-05-01,Bench Press,77.5,6,4
2023-05-01,Overhead Press,47.5,7,4
2023-05-01,Rope Pushdown,25,6,3
2023-05-01,Weighted Chin-up (added weight),2.5,8,4
2023-05-03,Barbell Row,67.5,5,3
2023-05-03,Weighted Dip (added weight),2.5,7,3
2023-05-05,Leg Press,155,8,3
2023-05-05,Smith Machine Calf Raise,90,5,4
2023-05-05,Squat,85,5,3
2023-05-08,Bench Press,77.5,5,3
2023-05-08,Neutral Grip Lat Pulldown,70,8,4
2023-05-08,Overhead Press,47.5,7,4
2023-05-08,Rope Pushdown,25,12,3
2023-05-10,Barbell Curl,30,10,4
2023-05-10,Barbell Row,65,8,4
2023-05-10,Deadlift,115,8,3
2023-05-12,Leg Extension,60,5,4
2023-05-12,Leg Press,145,12,3
2023-05-12,Smith Machine Calf Raise,95,5,4
2023-05-15,Bench Press,80,6,4
2023-05-15,Rope Pushdown,25,12,3
2023-05-15,Weighted Chin-up (added weight),2.5,6,4
2023-05-17,Barbell Row,67.5,5,4
2023-05-19,Leg Press,150,12,4
2023-05-19,Smith Machine Calf Raise,90,8,4
2023-05-19,Squat,87.5,7,3
2023-05-22,Bench Press,77.5,6,3
2023-05-22,Overhead Press,45,8,3
2023-05-22,Weighted Chin-up (added weight),2.5,6,4
2023-05-24,Barbell Curl,30,8,3
2023-05-24,Barbell Row,65,5,4
2023-05-24,Deadlift,112.5,5,3
2023-05-24,Weighted Dip (added weight),2.5,3,3
2023-05-26,Leg Press,155,12,4
2023-05-26,Smith Machine Calf Raise,90,10,3
2023-05-26,Squat,90,7,4
2023-05-29,Bench Press,77.5,7,3
2023-05-29,Neutral Grip Lat Pulldown,67.5,8,4
2023-05-29,Overhead Press,47.5,5,3
2023-05-29,Rope Pushdown,22.5,12,3
2023-05-29,Weighted Chin-up (added weight),2.5,3,3
2023-05-31,Barbell Row,65,6,4
2023-05-31,Deadlift,110,8,3
2023-05-31,Weighted Dip (added weight),2.5,8,3
2023-06-02,Leg Extension,60,8,4
2023-06-02,Leg Press,150,12,4
2023-06-02,Squat,85,6,3
2023-06-05,Bench Press,77.5,8,3
2023-06-05,Neutral Grip Lat Pulldown,70,5,4
2023-06-05,Overhead Press,47.5,7,4
2023-06-05,Weighted Chin-up (added weight),2.5,6,4
2023-06-07,Barbell Curl,30,6,4
2023-06-07,Barbell Row,62.5,7,3
2023-06-07,Weighted Dip (added weight),2.5,8,3
2023-06-09,Leg Press,150,6,3
2023-06-09,Smith Machine Calf Raise,90,6,3
2023-06-12,Bench Press,72.5,7,4
2023-06-12,Overhead Press,42.5,8,4
2023-06-12,Rope Pushdown,22.5,12,4
2023-06-12,Weighted Chin-up (added weight),2.5,3,4
2023-06-14,Barbell Row,60,7,4
2023-06-14,Deadlift,102.5,7,3
2023-06-16,Leg Extension,52.5,10,4
2023-06-16,Smith Machine Calf Raise,75,5,3
2023-06-16,Squat,77.5,5,4
2023-06-19,Bench Press,77.5,5,3
2023-06-19,Neutral Grip Lat Pulldown,70,10,3
2023-06-19,Overhead Press,45,8,4
2023-06-19,Weighted Chin-up (added weight),2.5,7,4
2023-06-21,Barbell Curl,30,10,3
2023-06-21,Barbell Row,62.5,8,3
2023-06-21,Deadlift,117.5,7,3
2023-06-23,Leg Extension,60,6,3
2023-06-23,Leg Press,145,12,3
2023-06-23,Smith Machine Calf Raise,90,6,3
2023-06-23,Squat,85,5,4
2023-06-26,Bench Press,77.5,6,3
2023-06-26,Neutral Grip Lat Pulldown,70,6,3
2023-06-26,Overhead Press,47.5,6,4
2023-06-26,Rope Pushdown,25,10,3
2023-06-28,Barbell Row,65,7,3
2023-06-28,Deadlift,110,8,3
2023-06-28,Weighted Dip (added weight),2.5,7,3
2023-06-30,Leg Press,150,5,3
2023-07-03,Bench Press,77.5,8,3
2023-07-03,Neutral Grip Lat Pulldown,70,8,4
2023-07-03,Overhead Press,47.5,6,3
2023-07-03,Rope Pushdown,25,6,3
2023-07-03,Weighted Chin-up (added weight),2.5,7,4
2023-07-05,Barbell Row,65,5,4
2023-07-05,Deadlift,117.5,8,4
2023-07-05,Weighted Dip (added weight),2.5,5,3
2023-07-07,Leg Extension,60,12,4
2023-07-07,Leg Press,155,8,3
2023-07-07,Smith Machine Calf Raise,90,10,3
2023-07-07,Squat,85,5,3
2023-07-10,Bench Press,80,7,3
2023-07-10,Neutral Grip Lat Pulldown,70,5,4
2023-07-10,Overhead Press,45,8,3
2023-07-10,Rope Pushdown,25,6,4
2023-07-12,Barbell Row,65,6,4
2023-07-12,Deadlift,112.5,7,4
2023-07-12,Weighted Dip (added weight),5,3,3
2023-07-14,Leg Press,155,12,3
2023-07-14,Smith Machine Calf Raise,90,5,3
2023-07-14,Squat,87.5,7,3
2023-07-17,Bench Press,80,8,4
2023-07-17,Neutral Grip Lat Pulldown,67.5,6,4
2023-07-17,Overhead Press,47.5,5,4
2023-07-17,Weighted Chin-up (added weight),2.5,8,4
2023-07-19,Barbell Curl,30,10,3
2023-07-19,Barbell Row,65,5,3
2023-07-19,Deadlift,112.5,6,3
2023-07-19,Weighted Dip (added weight),2.5,4,4
2023-07-21,Leg Extension,62.5,10,4
2023-07-21,Leg Press,145,8,4
2023-07-21,Smith Machine Calf Raise,85,8,3
2023-07-21,Squat,90,8,3
2023-07-24,Bench Press,80,7,3
2023-07-24,Neutral Grip Lat Pulldown,70,5,3
2023-07-24,Overhead Press,45,8,4
2023-07-24,Rope Pushdown,25,10,4
2023-07-24,Weighted Chin-up (added weight),2.5,5,4
2023-07-26,Barbell Row,65,6,3
2023-07-26,Deadlift,120,6,3
2023-07-28,Leg Press,155,10,4
2023-07-28,Smith Machine Calf Raise,90,5,4
2023-07-28,Squat,90,8,4
2023-07-31,Bench Press,80,7,3
2023-07-31,Neutral Grip Lat Pulldown,72.5,5,4
2023-07-31,Overhead Press,47.5,8,4
2023-07-31,Rope Pushdown,25,6,4
2023-07-31,Weighted Chin-up (added weight),2.5,5,3
2023-08-02,Barbell Curl,30,10,3
2023-08-02,Barbell Row,65,8,3
2023-08-04,Leg Extension,62.5,8,4
2023-08-04,Squat,87.5,6,4
2023-08-07,Bench Press,82.5,5,4
2023-08-07,Neutral Grip Lat Pulldown,70,6,4
2023-08-07,Overhead Press,47.5,8,4
2023-08-07,Rope Pushdown,25,12,3
2023-08-07,Weighted Chin-up (added weight),2.5,7,3
2023-08-09,Barbell Curl,30,8,4
2023-08-09,Barbell Row,67.5,6,3
2023-08-09,Deadlift,122.5,7,4
2023-08-09,Weighted Dip (added weight),5,5,3
2023-08-11,Leg Extension,65,5,3
2023-08-11,Leg Press,150,6,3
2023-08-11,Smith Machine Calf Raise,95,12,3
2023-08-14,Bench Press,80,6,3
2023-08-14,Neutral Grip Lat Pulldown,72.5,10,3
2023-08-14,Overhead Press,47.5,7,3
2023-08-14,Rope Pushdown,25,12,3
2023-08-16,Barbell Row,70,8,3
2023-08-16,Deadlift,125,8,4
2023-08-18,Leg Extension,65,8,4
2023-08-18,Leg Press,150,12,3
2023-08-18,Squat,87.5,8,4
2023-08-21,Bench Press,82.5,6,4
2023-08-21,Neutral Grip Lat Pulldown,70,5,4
2023-08-21,Overhead Press,50,8,3
2023-08-21,Weighted Chin-up (added weight),2.5,6,3
2023-08-23,Barbell Curl,30,10,3
2023-08-23,Barbell Row,67.5,5,3
2023-08-23,Deadlift,120,8,3
2023-08-23,Weighted Dip (added weight),5,4,4
2023-08-25,Leg Extension,65,6,4
2023-08-25,Leg Press,160,12,3
2023-08-25,Smith Machine Calf Raise,95,6,4
2023-08-25,Squat,90,8,3
2023-08-28,Bench Press,85,7,3
2023-08-28,Neutral Grip Lat Pulldown,72.5,10,4
2023-08-28,Rope Pushdown,25,6,4
2023-08-28,Weighted Chin-up (added weight),5,7,3
2023-08-30,Barbell Row,67.5,7,3
2023-08-30,Deadlift,122.5,5,4
2023-09-01,Leg Extension,67.5,5,4
2023-09-01,Leg Press,155,6,3
2023-09-01,Smith Machine Calf Raise,95,5,4
2023-09-04,Bench Press,77.5,8,4
2023-09-04,Neutral Grip Lat Pulldown,67.5,8,3
2023-09-04,Overhead Press,47.5,7,4
2023-09-06,Barbell Curl,30,12,3
2023-09-06,Barbell Row,62.5,8,4
2023-09-06,Deadlift,112.5,8,4
2023-09-08,Leg Extension,60,6,4
2023-09-08,Leg Press,140,8,4
2023-09-08,Smith Machine Calf Raise,85,8,4
2023-09-08,Squat,87.5,6,4
2023-09-11,Bench Press,87.5,5,3
2023-09-11,Neutral Grip Lat Pulldown,72.5,8,4
2023-09-11,Overhead Press,50,6,3
2023-09-11,Rope Pushdown,25,8,4
2023-09-11,Weighted Chin-up (added weight),5,6,3
2023-09-13,Barbell Curl,32.5,12,3
2023-09-13,Barbell Row,72.5,6,4
2023-09-13,Weighted Dip (added weight),5,4,3
2023-09-15,Leg Extension,67.5,10,3
2023-09-15,Smith Machine Calf Raise,100,10,3
2023-09-15,Squat,92.5,8,3
2023-09-18,Bench Press,85,5,4
2023-09-18,Overhead Press,52.5,7,4
2023-09-20,Barbell Curl,32.5,10,4
2023-09-20,Deadlift,127.5,6,3
2023-09-22,Leg Extension,67.5,5,3
2023-09-22,Leg Press,160,10,4
2023-09-22,Squat,97.5,6,3
2023-09-25,Bench Press,85,7,3
2023-09-25,Neutral Grip Lat Pulldown,72.5,6,4
2023-09-25,Overhead Press,52.5,6,3
2023-09-25,Weighted Chin-up (added weight),5,3,3
2023-09-27,Barbell Curl,32.5,8,4
2023-09-27,Barbell Row,72.5,7,3
2023-09-27,Deadlift,132.5,7,3
2023-09-27,Weighted Dip (added weight),5,3,3
2023-09-29,Leg Extension,67.5,12,4
2023-09-29,Leg Press,170,5,3
2023-09-29,Smith Machine Calf Raise,100,10,3
2023-10-02,Bench Press,87.5,7,4
2023-10-02,Neutral Grip Lat Pulldown,75,8,3
2023-10-02,Overhead Press,52.5,8,4
2023-10-02,Rope Pushdown,27.5,10,4
2023-10-02,Weighted Chin-up (added weight),5,4,4
2023-10-04,Barbell Curl,35,8,4
2023-10-04,Barbell Row,70,8,3
2023-10-04,Deadlift,127.5,5,4
2023-10-04,Weighted Dip (added weight),5,6,4
2023-10-06,Leg Press,160,6,4
2023-10-06,Smith Machine Calf Raise,105,10,3
2023-10-09,Bench Press,87.5,8,3
2023-10-09,Neutral Grip Lat Pulldown,72.5,5,4
2023-10-09,Overhead Press,52.5,5,4
2023-10-09,Rope Pushdown,25,10,4
2023-10-09,Weighted Chin-up (added weight),5,8,4
2023-10-11,Barbell Curl,32.5,8,3
2023-10-11,Barbell Row,70,8,4
2023-10-11,Deadlift,127.5,6,4
2023-10-13,Leg Extension,65,6,4
2023-10-13,Leg Press,165,12,4
2023-10-13,Squat,97.5,7,4
2023-10-16,Bench Press,87.5,6,4
2023-10-16,Neutral Grip Lat Pulldown,75,12,4
2023-10-16,Weighted Chin-up (added weight),5,7,4
2023-10-18,Barbell Row,75,7,3
2023-10-18,Deadlift,132.5,7,4
2023-10-18,Weighted Dip (added weight),5,8,3
2023-10-20,Leg Extension,70,5,3
2023-10-20,Smith Machine Calf Raise,100,6,4
2023-10-20,Squat,95,8,3
2023-10-23,Bench Press,87.5,8,3
2023-10-23,Overhead Press,52.5,7,4
2023-10-23,Rope Pushdown,27.5,10,4
2023-10-23,Weighted Chin-up (added weight),5,4,4
2023-10-25,Deadlift,130,7,3
2023-10-27,Leg Extension,70,10,4
2023-10-27,Leg Press,170,8,4
2023-10-27,Squat,100,8,4
2023-10-30,Bench Press,92.5,7,3
2023-10-30,Overhead Press,55,7,4
2023-10-30,Rope Pushdown,27.5,10,3
2023-10-30,Weighted Chin-up (added weight),5,4,3
2023-11-01,Barbell Curl,35,6,3
2023-11-01,Barbell Row,77.5,6,3
2023-11-01,Deadlift,135,6,3
2023-11-01,Weighted Dip (added weight),7.5,8,4
2023-11-03,Leg Extension,67.5,5,3
2023-11-03,Leg Press,170,8,4
2023-11-03,Smith Machine Calf Raise,105,5,3
2023-11-03,Squat,100,8,4
2023-11-06,Bench Press,92.5,5,4
2023-11-06,Neutral Grip Lat Pulldown,80,12,4
2023-11-06,Overhead Press,52.5,7,3
2023-11-06,Weighted Chin-up (added weight),5,3,4
2023-11-08,Barbell Curl,35,8,4
2023-11-08,Barbell Row,75,8,4
2023-11-08,Deadlift,132.5,7,3
2023-11-08,Weighted Dip (added weight),5,5,4
2023-11-10,Leg Press,165,5,3
2023-11-10,Smith Machine Calf Raise,105,5,4
2023-11-13,Bench Press,90,7,4
2023-11-13,Neutral Grip Lat Pulldown,75,12,4
2023-11-13,Overhead Press,55,5,4
2023-11-13,Weighted Chin-up (added weight),5,3,3
2023-11-15,Barbell Row,72.5,6,4
2023-11-15,Deadlift,137.5,7,3
2023-11-15,Weighted Dip (added weight),7.5,6,4
2023-11-17,Leg Extension,70,12,3
2023-11-17,Smith Machine Calf Raise,105,8,3
2023-11-20,Bench Press,87.5,6,3
2023-11-20,Overhead Press,55,8,3
2023-11-20,Rope Pushdown,27.5,8,4
2023-11-20,Weighted Chin-up (added weight),5,6,3
2023-11-22,Barbell Curl,32.5,6,4
2023-11-22,Barbell Row,75,5,3
2023-11-22,Deadlift,130,8,4
2023-11-22,Weighted Dip (added weight),7.5,5,3
2023-11-24,Leg Extension,70,12,3
2023-11-24,Leg Press,175,10,4
2023-11-24,Smith Machine Calf Raise,105,6,4
2023-11-24,Squat,97.5,6,4
2023-11-27,Bench Press,85,6,3
2023-11-27,Neutral Grip Lat Pulldown,70,5,3
2023-11-27,Overhead Press,52.5,8,4
2023-11-27,Weighted Chin-up (added weight),5,4,4
2023-11-29,Barbell Row,67.5,5,4
2023-11-29,Deadlift,125,5,3
2023-11-29,Weighted Dip (added weight),5,3,3
2023-12-01,Leg Extension,65,8,3
2023-12-01,Leg Press,165,6,4
2023-12-01,Smith Machine Calf Raise,95,12,3
2023-12-01,Squat,90,6,3
2023-12-04,Bench Press,90,6,4
2023-12-04,Neutral Grip Lat Pulldown,77.5,6,4
2023-12-04,Overhead Press,52.5,7,4
2023-12-04,Rope Pushdown,27.5,12,3
2023-12-06,Barbell Curl,32.5,10,3
2023-12-06,Barbell Row,75,8,3
2023-12-06,Weighted Dip (added weight),7.5,7,3
2023-12-08,Leg Extension,70,6,3
2023-12-08,Smith Machine Calf Raise,105,12,3
2023-12-11,Bench Press,87.5,6,4
2023-12-11,Overhead Press,55,7,3
2023-12-11,Weighted Chin-up (added weight),5,8,3
2023-12-13,Barbell Curl,35,10,4
2023-12-13,Barbell Row,75,8,3
2023-12-13,Weighted Dip (added weight),7.5,6,4
2023-12-15,Leg Extension,67.5,6,3
2023-12-15,Leg Press,170,6,4
2023-12-15,Smith Machine Calf Raise,105,12,4
2023-12-15,Squat,100,5,4
2023-12-18,Bench Press,87.5,6,4
2023-12-18,Neutral Grip Lat Pulldown,77.5,10,4
2023-12-18,Overhead Press,52.5,7,4
2023-12-18,Rope Pushdown,27.5,8,3
2023-12-20,Barbell Row,72.5,5,3
2023-12-20,Deadlift,132.5,5,3
2023-12-20,Weighted Dip (added weight),7.5,4,3
2023-12-22,Leg Extension,67.5,12,4
2023-12-22,Leg Press,170,12,4
2023-12-22,Smith Machine Calf Raise,105,8,4
2023-12-22,Squat,100,7,3
2023-12-25,Bench Press,92.5,8,3
2023-12-25,Overhead Press,52.5,6,3
2023-12-25,Rope Pushdown,27.5,12,3
2023-12-25,Weighted Chin-up (added weight),5,5,4
2023-12-27,Barbell Curl,32.5,8,3
2023-12-27,Barbell Row,75,5,3
2023-12-27,Weighted Dip (added weight),7.5,7,4
2023-12-29,Smith Machine Calf Raise,105,12,4
2023-12-29,Squat,97.5,7,3
2024-01-01,Bench Press,92.5,7,3
2024-01-01,Overhead Press,55,5,3
2024-01-01,Rope Pushdown,27.5,12,4
2024-01-01,Weighted Chin-up (added weight),5,8,4
2024-01-03,Barbell Row,75,5,4
2024-01-03,Deadlift,135,5,4
2024-01-03,Weighted Dip (added weight),7.5,7,4
2024-01-05,Leg Extension,70,10,3
2024-01-05,Leg Press,170,10,4
2024-01-05,Smith Machine Calf Raise,100,6,3
2024-01-05,Squat,100,8,4
2024-01-08,Bench Press,87.5,6,4
2024-01-08,Neutral Grip Lat Pulldown,75,12,4
2024-01-08,Overhead Press,52.5,5,4
2024-01-08,Rope Pushdown,27.5,6,4
2024-01-08,Weighted Chin-up (added weight),5,3,3
2024-01-10,Barbell Curl,32.5,12,3
2024-01-10,Barbell Row,75,5,3
2024-01-10,Weighted Dip (added weight),7.5,6,3
2024-01-12,Leg Extension,70,12,3
2024-01-12,Leg Press,165,8,3
2024-01-12,Smith Machine Calf Raise,100,5,4
2024-01-12,Squat,97.5,8,4
2024-01-15,Bench Press,90,7,4
2024-01-15,Neutral Grip Lat Pulldown,77.5,8,4
2024-01-15,Overhead Press,55,6,4
2024-01-15,Weighted Chin-up (added weight),5,4,4
2024-01-17,Barbell Row,75,8,4
2024-01-17,Deadlift,135,6,4
2024-01-17,Weighted Dip (added weight),7.5,7,3
2024-01-19,Leg Extension,67.5,8,3
2024-01-19,Leg Press,165,5,4
2024-01-19,Smith Machine Calf Raise,100,10,4
2024-01-19,Squat,100,8,3
2024-01-22,Bench Press,92.5,8,4
2024-01-22,Neutral Grip Lat Pulldown,77.5,12,3
2024-01-22,Overhead Press,55,8,3
2024-01-22,Rope Pushdown,27.5,10,3
2024-01-24,Barbell Curl,32.5,8,4
2024-01-24,Deadlift,127.5,8,4
2024-01-24,Weighted Dip (added weight),7.5,5,3
2024-01-26,Leg Extension,67.5,5,3
2024-01-26,Squat,97.5,6,4
2024-01-29,Bench Press,87.5,7,4
2024-01-29,Neutral Grip Lat Pulldown,72.5,5,3
2024-01-29,Overhead Press,55,7,4
2024-01-29,Weighted Chin-up (added weight),5,6,4
2024-01-31,Barbell Curl,32.5,8,3
2024-01-31,Barbell Row,75,7,4
2024-01-31,Deadlift,132.5,6,3
2024-02-02,Leg Extension,70,5,3
2024-02-02,Leg Press,165,5,3
2024-02-02,Smith Machine Calf Raise,105,8,4
2024-02-02,Squat,97.5,5,3
2024-02-05,Bench Press,87.5,8,4
2024-02-05,Overhead Press,55,5,4
2024-02-05,Rope Pushdown,27.5,10,3
2024-02-05,Weighted Chin-up (added weight),5,4,4
2024-02-07,Barbell Curl,32.5,8,3
2024-02-07,Barbell Row,72.5,6,4
2024-02-07,Deadlift,127.5,7,3
2024-02-07,Weighted Dip (added weight),7.5,7,3
2024-02-09,Leg Extension,67.5,10,4
2024-02-09,Smith Machine Calf Raise,100,10,4
2024-02-09,Squat,97.5,5,4
2024-02-12,Bench Press,90,6,4
2024-02-12,Neutral Grip Lat Pulldown,75,10,3
2024-02-12,Overhead Press,52.5,7,3
2024-02-12,Rope Pushdown,27.5,10,3
2024-02-14,Barbell Row,72.5,8,3
2024-02-14,Weighted Dip (added weight),7.5,4,4
2024-02-16,Leg Extension,65,6,4
2024-02-16,Squat,87.5,5,4
2024-02-19,Bench Press,80,6,3
2024-02-19,Neutral Grip Lat Pulldown,67.5,12,3
2024-02-19,Overhead Press,50,7,4
2024-02-19,Rope Pushdown,25,12,3
2024-02-19,Weighted Chin-up (added weight),5,8,4
2024-02-21,Weighted Dip (added weight),7.5,4,3
2024-02-23,Leg Extension,67.5,10,4
2024-02-23,Leg Press,170,10,3
2024-02-23,Smith Machine Calf Raise,105,5,4
2024-02-26,Bench Press,87.5,7,4
2024-02-26,Rope Pushdown,27.5,10,3
2024-02-26,Weighted Chin-up (added weight),5,8,3
2024-02-28,Barbell Curl,32.5,10,3
2024-02-28,Barbell Row,75,6,4
2024-02-28,Weighted Dip (added weight),7.5,5,3
2024-03-01,Leg Extension,70,6,3
2024-03-01,Leg Press,170,10,4
2024-03-01,Squat,97.5,8,3
2024-03-04,Bench Press,90,7,3
2024-03-04,Neutral Grip Lat Pulldown,72.5,5,3
2024-03-04,Overhead Press,52.5,7,3
2024-03-04,Rope Pushdown,25,8,4
2024-03-04,Weighted Chin-up (added weight),5,8,3
2024-03-06,Barbell Curl,32.5,12,3
2024-03-06,Barbell Row,72.5,6,4
2024-03-06,Deadlift,132.5,5,4
2024-03-06,Weighted Dip (added weight),7.5,3,4
2024-03-08,Leg Extension,67.5,10,4
2024-03-08,Leg Press,165,8,3
2024-03-08,Squat,97.5,5,3
2024-03-11,Bench Press,87.5,5,4
